months_as_customer,age,policy_number,policy_bind_year,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,incident_type,collision_type,incident_severity,total_claim_amount,vehicle_type,fraud_reported
155,67,490479,2020,OH,100/300,2000,701,FEMALE,Associate,exec-managerial,Vehicle Theft,Front Collision,Total Loss,18876,SUV,N
386,19,626257,2006,IN,100/300,1000,1267,FEMALE,High School,sales,Parked Car,Front Collision,Minor Damage,39532,Truck,N
273,71,930185,2006,IN,100/300,1000,1311,MALE,Masters,prof-specialty,Vehicle Theft,Front Collision,Minor Damage,10266,Sports Car,Y
104,45,497686,2007,OH,250/500,1000,807,FEMALE,Associate,prof-specialty,Multi-vehicle Collision,Side Collision,Major Damage,13183,Sedan,N
393,66,221863,2012,IL,100/300,1000,1612,MALE,Masters,tech-support,Single Vehicle Collision,Front Collision,Major Damage,23066,Sports Car,N
299,67,896657,2019,OH,100/300,500,1221,MALE,Associate,exec-managerial,Vehicle Theft,Rear Collision,Total Loss,14877,Sports Car,N
246,47,601076,2011,IL,500/1000,2000,1552,MALE,PhD,exec-managerial,Multi-vehicle Collision,Front Collision,Minor Damage,11982,Sedan,N
176,55,747296,2010,OH,100/300,2000,960,MALE,PhD,tech-support,Vehicle Theft,Rear Collision,Total Loss,10968,SUV,N
39,68,600726,2013,IL,100/300,500,1960,MALE,PhD,prof-specialty,Single Vehicle Collision,Side Collision,Total Loss,28598,Truck,N
170,21,778556,2005,OH,250/500,500,1689,FEMALE,College,craft-repair,Vehicle Theft,Side Collision,Major Damage,16639,Truck,N
247,18,730111,2012,IL,250/500,2000,1541,MALE,Associate,craft-repair,Parked Car,Front Collision,Minor Damage,6674,Sedan,Y
26,25,900101,2007,OH,500/1000,1000,863,MALE,College,prof-specialty,Single Vehicle Collision,Front Collision,Major Damage,6316,SUV,N
355,46,734965,2008,OH,100/300,1000,543,MALE,Masters,exec-managerial,Parked Car,Front Collision,Total Loss,11695,Sports Car,N
306,72,871246,2019,IL,500/1000,2000,841,FEMALE,College,craft-repair,Multi-vehicle Collision,Rear Collision,Total Loss,33094,Sports Car,Y
13,56,148320,2010,IN,250/500,1000,1623,FEMALE,Masters,sales,Multi-vehicle Collision,Side Collision,Major Damage,24187,Sports Car,N
316,20,596758,2019,IL,500/1000,500,1580,FEMALE,Masters,sales,Vehicle Theft,Rear Collision,Major Damage,43147,Sports Car,Y
391,49,246649,2007,IN,250/500,1000,886,FEMALE,Masters,tech-support,Parked Car,Rear Collision,Major Damage,3214,Sports Car,N
313,27,225354,2018,OH,500/1000,1000,1259,FEMALE,College,prof-specialty,Parked Car,Front Collision,Major Damage,25940,Sedan,Y
36,27,712297,2018,IL,500/1000,1000,1557,FEMALE,Associate,prof-specialty,Single Vehicle Collision,Front Collision,Major Damage,46406,Sports Car,Y
173,36,881725,2008,IL,100/300,2000,547,FEMALE,College,craft-repair,Parked Car,Rear Collision,Total Loss,27685,Sports Car,Y
20,63,548625,2016,IL,500/1000,500,1759,MALE,Associate,exec-managerial,Parked Car,Rear Collision,Major Damage,45481,SUV,Y
321,51,128625,2021,IN,100/300,1000,1494,MALE,Associate,prof-specialty,Single Vehicle Collision,Front Collision,Minor Damage,17977,Sports Car,N
264,50,836400,2011,IN,100/300,2000,1656,FEMALE,Masters,craft-repair,Single Vehicle Collision,Front Collision,Total Loss,46839,Truck,Y
142,40,386233,2013,OH,100/300,1000,1757,MALE,College,craft-repair,Parked Car,Rear Collision,Total Loss,37904,Sedan,Y
371,72,136487,2007,IN,100/300,500,1210,MALE,Associate,prof-specialty,Vehicle Theft,Front Collision,Minor Damage,27538,Sedan,N
143,45,559054,2017,IN,500/1000,1000,1065,FEMALE,PhD,craft-repair,Single Vehicle Collision,Front Collision,Minor Damage,41386,Sedan,N
92,49,328071,2019,OH,250/500,500,489,MALE,Associate,tech-support,Single Vehicle Collision,Rear Collision,Total Loss,40033,Truck,Y
354,67,996880,2022,IL,250/500,1000,1757,MALE,PhD,tech-support,Parked Car,Rear Collision,Major Damage,9965,Sports Car,N
322,24,588011,2005,IL,250/500,500,598,FEMALE,College,prof-specialty,Parked Car,Side Collision,Total Loss,11597,Sedan,N
288,46,412282,2010,OH,500/1000,1000,1584,MALE,College,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,43476,Truck,Y
215,25,273895,2006,IL,100/300,500,937,FEMALE,College,tech-support,Parked Car,Front Collision,Minor Damage,29740,SUV,N
342,18,530424,2018,IN,250/500,1000,1544,FEMALE,Associate,tech-support,Single Vehicle Collision,Rear Collision,Total Loss,8569,Sports Car,Y
51,74,416205,2010,OH,500/1000,1000,700,MALE,High School,prof-specialty,Vehicle Theft,Rear Collision,Major Damage,39981,Truck,Y
153,72,201376,2018,OH,100/300,2000,1123,MALE,Associate,sales,Vehicle Theft,Rear Collision,Minor Damage,13881,Sports Car,N
186,20,525106,2008,OH,250/500,2000,1998,MALE,Associate,craft-repair,Single Vehicle Collision,Side Collision,Total Loss,38996,SUV,Y
63,41,965566,2012,IL,100/300,500,1362,FEMALE,Masters,tech-support,Single Vehicle Collision,Side Collision,Total Loss,34177,Truck,Y
190,40,933487,2007,OH,250/500,1000,1859,FEMALE,Masters,sales,Multi-vehicle Collision,Front Collision,Major Damage,39177,Sports Car,Y
125,25,867629,2018,OH,250/500,500,467,FEMALE,Associate,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,2590,Truck,N
150,71,381652,2021,OH,250/500,2000,858,MALE,PhD,sales,Parked Car,Rear Collision,Total Loss,28119,Sedan,N
314,74,572132,2012,IL,100/300,500,1937,MALE,Masters,prof-specialty,Parked Car,Side Collision,Total Loss,29915,Sports Car,Y
58,64,258056,2018,IN,500/1000,500,797,FEMALE,Associate,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,4708,Truck,N
342,54,734457,2010,OH,100/300,2000,1019,MALE,High School,exec-managerial,Single Vehicle Collision,Side Collision,Major Damage,40749,Sedan,Y
305,20,894557,2020,IN,250/500,1000,1709,MALE,PhD,sales,Multi-vehicle Collision,Side Collision,Total Loss,46989,SUV,Y
180,68,660347,2018,IL,100/300,500,1984,FEMALE,College,prof-specialty,Multi-vehicle Collision,Side Collision,Total Loss,24106,Sports Car,N
170,50,562785,2007,IL,500/1000,2000,1563,FEMALE,Associate,tech-support,Single Vehicle Collision,Rear Collision,Total Loss,19131,Sports Car,Y
326,45,727697,2014,IL,100/300,1000,1129,MALE,Associate,sales,Vehicle Theft,Side Collision,Minor Damage,48553,SUV,N
271,64,599653,2013,IL,500/1000,2000,955,FEMALE,PhD,tech-support,Vehicle Theft,Rear Collision,Major Damage,8553,Sedan,N
54,25,629992,2017,IN,500/1000,500,1180,MALE,Masters,sales,Parked Car,Rear Collision,Minor Damage,19881,SUV,N
101,51,828744,2011,OH,100/300,1000,1293,FEMALE,Masters,tech-support,Single Vehicle Collision,Front Collision,Minor Damage,3379,Sports Car,Y
264,52,842488,2018,IL,250/500,1000,1009,FEMALE,Masters,sales,Single Vehicle Collision,Side Collision,Major Damage,27255,Truck,Y
53,49,735567,2013,IL,500/1000,2000,1147,FEMALE,College,exec-managerial,Parked Car,Front Collision,Minor Damage,42128,Sedan,N
60,41,782568,2019,IN,100/300,2000,681,MALE,PhD,craft-repair,Multi-vehicle Collision,Front Collision,Minor Damage,5770,Sedan,Y
108,31,742804,2018,IN,500/1000,2000,1060,MALE,PhD,exec-managerial,Multi-vehicle Collision,Rear Collision,Minor Damage,21726,Sedan,N
5,49,622828,2010,IL,250/500,1000,1323,FEMALE,Masters,tech-support,Vehicle Theft,Side Collision,Major Damage,49217,SUV,Y
103,73,578366,2008,OH,100/300,1000,1395,FEMALE,Masters,prof-specialty,Single Vehicle Collision,Rear Collision,Total Loss,11088,SUV,N
196,63,821384,2012,OH,100/300,500,1145,FEMALE,High School,exec-managerial,Multi-vehicle Collision,Rear Collision,Major Damage,36314,Truck,Y
262,60,519139,2021,IL,100/300,1000,1880,MALE,High School,craft-repair,Vehicle Theft,Side Collision,Major Damage,40976,Truck,Y
365,33,619777,2013,IN,250/500,500,486,FEMALE,Associate,tech-support,Vehicle Theft,Rear Collision,Major Damage,18350,Sedan,N
372,21,476188,2005,IL,500/1000,2000,1502,FEMALE,Associate,exec-managerial,Vehicle Theft,Side Collision,Minor Damage,43643,Truck,N
350,69,332549,2018,IL,100/300,2000,1628,FEMALE,PhD,sales,Multi-vehicle Collision,Side Collision,Total Loss,36063,SUV,Y
47,54,653453,2015,IN,500/1000,1000,1190,FEMALE,PhD,prof-specialty,Multi-vehicle Collision,Rear Collision,Major Damage,17861,Truck,N
355,71,691491,2007,IL,500/1000,2000,1760,MALE,College,tech-support,Single Vehicle Collision,Rear Collision,Major Damage,15973,SUV,N
311,38,584965,2013,IL,250/500,2000,1677,MALE,College,exec-managerial,Single Vehicle Collision,Front Collision,Total Loss,19769,Truck,N
308,31,890546,2018,IL,100/300,1000,703,FEMALE,High School,tech-support,Vehicle Theft,Rear Collision,Total Loss,49249,Sports Car,Y
144,48,136321,2013,IN,500/1000,500,1803,MALE,Associate,sales,Vehicle Theft,Side Collision,Total Loss,19326,SUV,N
269,72,435441,2008,OH,100/300,1000,529,MALE,High School,craft-repair,Multi-vehicle Collision,Front Collision,Minor Damage,38048,Sports Car,N
370,65,983084,2008,OH,100/300,500,995,MALE,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,48365,SUV,Y
124,35,985736,2012,IN,250/500,1000,1699,FEMALE,Associate,tech-support,Single Vehicle Collision,Front Collision,Minor Damage,4786,Truck,N
106,24,345014,2006,OH,100/300,1000,957,MALE,College,tech-support,Single Vehicle Collision,Rear Collision,Major Damage,37001,Sports Car,Y
158,27,256498,2013,IL,100/300,2000,1298,MALE,Associate,tech-support,Parked Car,Rear Collision,Minor Damage,3620,Truck,Y
147,24,117772,2018,OH,500/1000,1000,1606,MALE,Masters,craft-repair,Single Vehicle Collision,Rear Collision,Total Loss,38303,SUV,Y
145,50,990186,2013,IL,250/500,1000,1691,FEMALE,Masters,tech-support,Multi-vehicle Collision,Side Collision,Minor Damage,21589,Sports Car,N
120,40,890144,2020,OH,100/300,500,1745,FEMALE,Masters,prof-specialty,Vehicle Theft,Front Collision,Total Loss,4882,Sedan,N
319,38,494583,2021,IN,500/1000,2000,1935,MALE,PhD,prof-specialty,Parked Car,Side Collision,Minor Damage,26524,Truck,N
275,36,338389,2020,OH,250/500,500,477,MALE,College,tech-support,Single Vehicle Collision,Front Collision,Major Damage,11745,SUV,N
92,65,739430,2016,OH,250/500,500,1183,FEMALE,College,prof-specialty,Single Vehicle Collision,Rear Collision,Minor Damage,38665,Sports Car,N
58,36,716024,2007,OH,500/1000,2000,1762,FEMALE,PhD,exec-managerial,Multi-vehicle Collision,Side Collision,Major Damage,17861,Truck,Y
346,53,151924,2015,IN,500/1000,2000,1073,MALE,High School,prof-specialty,Parked Car,Rear Collision,Total Loss,28171,Sports Car,N
229,46,628014,2018,OH,500/1000,2000,1979,MALE,Masters,tech-support,Single Vehicle Collision,Side Collision,Major Damage,28199,Truck,N
117,35,451296,2022,IN,500/1000,1000,1932,FEMALE,Masters,sales,Vehicle Theft,Rear Collision,Total Loss,4837,Truck,N
318,19,127723,2009,IL,500/1000,2000,637,FEMALE,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,10599,Truck,N
279,18,858470,2020,OH,100/300,2000,1557,MALE,Associate,craft-repair,Parked Car,Side Collision,Major Damage,17911,Sports Car,N
127,64,986926,2009,IN,100/300,2000,1615,FEMALE,Associate,tech-support,Single Vehicle Collision,Front Collision,Major Damage,22553,Sports Car,N
393,22,764468,2007,IN,250/500,500,1779,MALE,College,craft-repair,Single Vehicle Collision,Rear Collision,Minor Damage,41489,Truck,N
396,37,308786,2016,OH,100/300,500,677,MALE,PhD,sales,Parked Car,Front Collision,Minor Damage,25813,Sedan,N
129,28,659931,2005,IL,100/300,1000,1441,MALE,College,craft-repair,Multi-vehicle Collision,Front Collision,Major Damage,40255,Sedan,Y
58,59,786684,2013,IN,100/300,500,923,FEMALE,Associate,tech-support,Parked Car,Rear Collision,Major Damage,49889,Sedan,Y
122,19,990328,2013,OH,500/1000,1000,579,MALE,High School,tech-support,Parked Car,Side Collision,Major Damage,31520,SUV,Y
1,20,314432,2008,IL,250/500,500,522,MALE,College,sales,Multi-vehicle Collision,Front Collision,Major Damage,31541,Sedan,Y
239,40,239999,2007,IN,250/500,2000,1669,FEMALE,Masters,tech-support,Single Vehicle Collision,Rear Collision,Total Loss,2236,Sports Car,N
290,72,980112,2021,IN,250/500,500,1796,FEMALE,Masters,sales,Vehicle Theft,Side Collision,Major Damage,29350,Sedan,Y
96,29,458690,2006,IL,250/500,1000,1474,MALE,High School,sales,Multi-vehicle Collision,Front Collision,Major Damage,46397,Sports Car,Y
126,37,179973,2005,IL,100/300,500,1494,MALE,Associate,tech-support,Vehicle Theft,Front Collision,Major Damage,13549,SUV,Y
118,22,949881,2012,OH,100/300,2000,879,FEMALE,Masters,prof-specialty,Single Vehicle Collision,Front Collision,Major Damage,29453,Sports Car,N
48,54,734122,2017,OH,500/1000,1000,1983,FEMALE,Masters,sales,Parked Car,Side Collision,Total Loss,37191,Sports Car,Y
89,55,860674,2019,IN,250/500,2000,1442,FEMALE,PhD,tech-support,Vehicle Theft,Front Collision,Minor Damage,14906,Sports Car,N
237,47,553449,2012,IL,100/300,2000,483,MALE,College,prof-specialty,Single Vehicle Collision,Side Collision,Minor Damage,16988,Sedan,N
373,26,387681,2016,IL,100/300,1000,1578,MALE,Associate,sales,Single Vehicle Collision,Front Collision,Minor Damage,29723,Truck,N
385,51,594509,2016,IL,500/1000,2000,964,MALE,College,prof-specialty,Parked Car,Rear Collision,Minor Damage,35800,Sports Car,N
272,70,964008,2018,IN,500/1000,2000,1018,FEMALE,Associate,exec-managerial,Parked Car,Front Collision,Minor Damage,41107,Sedan,Y
189,61,731810,2019,IL,500/1000,500,756,MALE,Masters,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,29430,Sedan,N
192,52,646900,2019,IL,100/300,2000,1215,FEMALE,PhD,prof-specialty,Single Vehicle Collision,Rear Collision,Minor Damage,34535,Sedan,N
69,69,325049,2013,IN,100/300,2000,1046,MALE,College,sales,Vehicle Theft,Rear Collision,Total Loss,4940,Truck,N
278,39,368615,2012,OH,500/1000,2000,842,FEMALE,Masters,tech-support,Single Vehicle Collision,Side Collision,Total Loss,23793,Truck,Y
349,61,266703,2010,OH,250/500,2000,1492,MALE,Associate,craft-repair,Single Vehicle Collision,Rear Collision,Minor Damage,14262,Truck,N
247,41,864357,2008,IN,500/1000,1000,922,MALE,College,tech-support,Vehicle Theft,Front Collision,Minor Damage,46420,Truck,N
76,34,847419,2011,IL,500/1000,500,542,FEMALE,College,craft-repair,Multi-vehicle Collision,Side Collision,Minor Damage,39710,SUV,Y
154,27,131348,2008,IN,500/1000,2000,591,FEMALE,Masters,craft-repair,Vehicle Theft,Rear Collision,Major Damage,8961,Truck,N
144,47,295804,2016,OH,500/1000,2000,1810,MALE,College,sales,Vehicle Theft,Side Collision,Total Loss,28499,Truck,N
86,73,887609,2017,OH,100/300,1000,777,FEMALE,PhD,prof-specialty,Parked Car,Side Collision,Minor Damage,42498,Truck,N
185,63,235832,2007,IN,250/500,2000,980,FEMALE,PhD,tech-support,Vehicle Theft,Side Collision,Major Damage,33283,Sports Car,Y
285,40,394923,2016,IN,500/1000,1000,934,MALE,Masters,prof-specialty,Single Vehicle Collision,Front Collision,Total Loss,2633,Sports Car,N
220,49,383780,2006,OH,250/500,500,1716,FEMALE,Associate,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,8822,Truck,N
69,34,706177,2006,IN,250/500,500,1432,MALE,Masters,sales,Single Vehicle Collision,Side Collision,Major Damage,27968,SUV,N
47,67,153551,2013,OH,250/500,2000,1694,MALE,PhD,sales,Multi-vehicle Collision,Side Collision,Minor Damage,41255,Sports Car,N
94,68,504772,2005,IN,500/1000,2000,1810,FEMALE,High School,exec-managerial,Single Vehicle Collision,Side Collision,Total Loss,49899,Sedan,Y
238,34,766923,2012,IN,100/300,2000,492,FEMALE,High School,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,21830,Sports Car,N
204,31,671107,2010,IN,500/1000,1000,928,MALE,College,exec-managerial,Single Vehicle Collision,Side Collision,Total Loss,7738,Sedan,N
218,26,435914,2010,OH,250/500,2000,1577,MALE,College,tech-support,Vehicle Theft,Side Collision,Minor Damage,5098,Sports Car,Y
341,57,520182,2022,IN,250/500,2000,804,MALE,High School,craft-repair,Parked Car,Front Collision,Total Loss,31888,Truck,Y
39,19,312781,2021,OH,100/300,500,1239,MALE,PhD,sales,Single Vehicle Collision,Rear Collision,Major Damage,10097,Sports Car,N
100,62,553105,2016,OH,500/1000,2000,1572,MALE,College,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,15136,Truck,N
289,42,782347,2010,IN,250/500,500,1288,MALE,Masters,prof-specialty,Multi-vehicle Collision,Rear Collision,Total Loss,40244,Truck,Y
254,56,965146,2012,IN,100/300,2000,1690,FEMALE,Masters,prof-specialty,Parked Car,Rear Collision,Major Damage,10253,Sports Car,N
222,26,813708,2014,OH,250/500,500,821,FEMALE,PhD,sales,Single Vehicle Collision,Rear Collision,Major Damage,27208,Sedan,N
357,71,648884,2005,OH,100/300,2000,871,FEMALE,College,exec-managerial,Vehicle Theft,Front Collision,Major Damage,6887,Sedan,N
23,39,950538,2017,IL,100/300,500,1292,MALE,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Minor Damage,46411,Sports Car,N
250,60,159182,2021,OH,500/1000,1000,946,FEMALE,College,tech-support,Single Vehicle Collision,Front Collision,Minor Damage,11492,Truck,N
10,63,449307,2007,IL,250/500,500,1030,MALE,College,exec-managerial,Parked Car,Front Collision,Major Damage,37421,Sedan,Y
246,21,401454,2012,IL,500/1000,500,1949,MALE,Masters,sales,Single Vehicle Collision,Side Collision,Total Loss,3454,SUV,N
325,43,418232,2018,IL,250/500,500,1926,FEMALE,High School,tech-support,Vehicle Theft,Side Collision,Minor Damage,19522,Truck,N
100,46,753091,2007,IN,500/1000,2000,1437,MALE,Masters,craft-repair,Multi-vehicle Collision,Side Collision,Total Loss,40575,Sports Car,Y
290,62,239978,2020,IN,250/500,2000,1177,MALE,PhD,exec-managerial,Parked Car,Rear Collision,Major Damage,5192,Truck,N
180,51,923346,2017,OH,500/1000,2000,763,MALE,Associate,exec-managerial,Vehicle Theft,Side Collision,Major Damage,47580,SUV,Y
223,40,996782,2021,IL,100/300,1000,518,MALE,Masters,tech-support,Multi-vehicle Collision,Rear Collision,Total Loss,17775,SUV,N
394,54,669667,2017,IN,250/500,1000,1661,MALE,College,prof-specialty,Parked Car,Front Collision,Minor Damage,12402,Sedan,N
250,28,571828,2010,IN,250/500,500,945,MALE,College,exec-managerial,Parked Car,Rear Collision,Total Loss,15074,SUV,N
147,23,870188,2021,IN,100/300,1000,1592,FEMALE,Masters,sales,Multi-vehicle Collision,Rear Collision,Total Loss,17245,Truck,N
96,35,358517,2018,IN,500/1000,500,921,MALE,Associate,exec-managerial,Multi-vehicle Collision,Side Collision,Major Damage,38527,Sedan,Y
257,38,540097,2021,IN,250/500,500,1033,MALE,Masters,craft-repair,Vehicle Theft,Front Collision,Minor Damage,27936,SUV,Y
325,59,408557,2012,IL,250/500,500,1362,MALE,Associate,exec-managerial,Single Vehicle Collision,Front Collision,Total Loss,29002,Sedan,Y
4,53,237084,2015,IL,500/1000,1000,1357,MALE,Associate,prof-specialty,Single Vehicle Collision,Side Collision,Minor Damage,17683,Sedan,N
16,58,805475,2005,IL,100/300,2000,1282,FEMALE,PhD,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,14460,Sports Car,N
280,55,893583,2011,IL,500/1000,1000,1179,FEMALE,College,tech-support,Single Vehicle Collision,Front Collision,Minor Damage,32482,Sedan,N
336,51,682004,2021,OH,500/1000,500,1270,MALE,College,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,18447,Sedan,N
247,34,980179,2014,IL,500/1000,500,915,MALE,Associate,prof-specialty,Vehicle Theft,Side Collision,Minor Damage,19729,SUV,N
258,54,848013,2015,IN,250/500,1000,1337,MALE,College,tech-support,Parked Car,Front Collision,Total Loss,22545,Truck,N
384,42,791738,2013,IL,100/300,500,1820,FEMALE,High School,sales,Vehicle Theft,Rear Collision,Major Damage,30204,Truck,Y
160,55,798012,2013,OH,100/300,500,1265,FEMALE,Associate,tech-support,Vehicle Theft,Rear Collision,Total Loss,11814,SUV,N
340,29,303502,2009,IN,500/1000,1000,505,FEMALE,College,craft-repair,Vehicle Theft,Front Collision,Major Damage,15890,Truck,N
152,40,244539,2021,IL,250/500,1000,1508,FEMALE,High School,tech-support,Parked Car,Side Collision,Minor Damage,3740,Sedan,N
396,70,524226,2013,IL,500/1000,1000,613,MALE,PhD,sales,Vehicle Theft,Side Collision,Minor Damage,32121,Sports Car,N
178,59,621863,2021,IL,250/500,500,1544,FEMALE,College,exec-managerial,Vehicle Theft,Side Collision,Major Damage,13218,Sedan,N
163,39,221999,2011,IN,250/500,500,1555,FEMALE,High School,tech-support,Parked Car,Front Collision,Major Damage,8055,Sedan,N
380,38,214793,2013,IN,250/500,2000,1249,MALE,Masters,tech-support,Vehicle Theft,Front Collision,Major Damage,24705,Sports Car,Y
33,44,557373,2011,OH,250/500,2000,596,MALE,Masters,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,36722,SUV,N
179,74,470321,2017,IN,100/300,1000,418,FEMALE,High School,tech-support,Multi-vehicle Collision,Side Collision,Major Damage,44000,Sedan,Y
101,48,112289,2015,IN,250/500,2000,1041,FEMALE,Associate,sales,Vehicle Theft,Rear Collision,Major Damage,8439,Sedan,Y
268,23,800336,2018,IL,250/500,500,1435,FEMALE,Associate,prof-specialty,Multi-vehicle Collision,Rear Collision,Total Loss,32921,SUV,Y
323,44,798956,2015,IN,500/1000,2000,1504,FEMALE,College,prof-specialty,Vehicle Theft,Side Collision,Major Damage,35729,Sedan,Y
65,57,855801,2017,IL,500/1000,500,729,MALE,Masters,tech-support,Vehicle Theft,Front Collision,Total Loss,25211,Sedan,N
168,51,357368,2018,IL,100/300,1000,1265,MALE,Associate,sales,Single Vehicle Collision,Front Collision,Total Loss,32614,Truck,Y
330,29,186365,2017,IN,500/1000,1000,1173,FEMALE,Associate,sales,Parked Car,Rear Collision,Total Loss,19601,SUV,N
43,62,854950,2005,OH,250/500,500,791,FEMALE,Masters,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,29796,Sedan,N
44,74,275211,2012,OH,500/1000,2000,1036,FEMALE,PhD,craft-repair,Parked Car,Rear Collision,Total Loss,8007,Sedan,N
285,70,279785,2016,IN,100/300,1000,706,FEMALE,Associate,tech-support,Single Vehicle Collision,Rear Collision,Major Damage,22514,Sports Car,N
397,24,172588,2016,OH,500/1000,1000,1690,FEMALE,High School,craft-repair,Single Vehicle Collision,Side Collision,Minor Damage,19776,Sports Car,N
12,27,163646,2012,IL,500/1000,2000,1870,MALE,College,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,4076,Sports Car,N
95,62,365798,2012,IL,100/300,2000,1864,MALE,Associate,craft-repair,Parked Car,Rear Collision,Minor Damage,27350,Sedan,N
302,34,582238,2017,IN,100/300,500,1294,MALE,Associate,craft-repair,Single Vehicle Collision,Front Collision,Minor Damage,40964,Sedan,N
386,43,905175,2016,OH,250/500,2000,1051,FEMALE,PhD,tech-support,Vehicle Theft,Front Collision,Minor Damage,18292,Sports Car,N
253,38,934800,2020,OH,500/1000,2000,1240,FEMALE,High School,craft-repair,Vehicle Theft,Front Collision,Minor Damage,33510,Truck,N
242,45,845385,2005,IL,250/500,2000,1425,MALE,College,exec-managerial,Vehicle Theft,Side Collision,Minor Damage,30000,Truck,N
35,63,829532,2017,IN,500/1000,500,919,MALE,Associate,prof-specialty,Parked Car,Side Collision,Total Loss,45083,Truck,Y
215,19,219735,2011,OH,500/1000,500,1035,FEMALE,College,sales,Vehicle Theft,Front Collision,Major Damage,32383,Truck,Y
337,71,255683,2009,IN,250/500,1000,1732,MALE,Masters,craft-repair,Vehicle Theft,Front Collision,Major Damage,13785,SUV,N
90,60,732259,2012,OH,500/1000,500,1139,FEMALE,Associate,craft-repair,Single Vehicle Collision,Rear Collision,Total Loss,42910,Sports Car,Y
264,18,636437,2018,IL,500/1000,1000,1945,FEMALE,Associate,sales,Single Vehicle Collision,Rear Collision,Total Loss,41028,Sedan,Y
93,68,462246,2017,IL,500/1000,2000,868,MALE,Masters,craft-repair,Vehicle Theft,Side Collision,Minor Damage,26855,Sports Car,N
90,70,421333,2019,IN,100/300,1000,611,MALE,PhD,sales,Vehicle Theft,Side Collision,Minor Damage,26281,Truck,Y
115,53,863264,2021,IL,250/500,1000,1535,MALE,Associate,tech-support,Single Vehicle Collision,Rear Collision,Total Loss,6841,Sedan,N
105,68,957463,2019,OH,100/300,2000,1431,FEMALE,College,exec-managerial,Multi-vehicle Collision,Front Collision,Minor Damage,33668,SUV,N
391,43,666956,2022,IL,250/500,1000,1203,FEMALE,High School,exec-managerial,Parked Car,Rear Collision,Major Damage,28918,Sports Car,Y
196,46,506889,2022,IN,250/500,500,876,MALE,College,prof-specialty,Parked Car,Side Collision,Major Damage,48152,Sedan,Y
314,38,712492,2006,IN,500/1000,500,1273,FEMALE,PhD,craft-repair,Single Vehicle Collision,Side Collision,Minor Damage,19443,Sedan,Y
114,28,311830,2008,IN,250/500,500,859,FEMALE,High School,prof-specialty,Parked Car,Rear Collision,Minor Damage,34250,Truck,N
75,57,296501,2005,OH,100/300,500,652,FEMALE,College,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,3922,Truck,N
376,28,516885,2008,OH,100/300,1000,1949,MALE,College,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,33976,Sports Car,Y
217,53,265140,2022,OH,100/300,1000,1151,FEMALE,Masters,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,13991,SUV,N
277,66,844149,2009,OH,250/500,2000,1861,MALE,PhD,tech-support,Single Vehicle Collision,Front Collision,Total Loss,40869,Sedan,Y
249,56,240507,2019,OH,100/300,1000,1380,MALE,Masters,craft-repair,Multi-vehicle Collision,Rear Collision,Minor Damage,24733,Truck,N
164,57,325160,2012,IL,250/500,1000,1253,FEMALE,High School,tech-support,Vehicle Theft,Side Collision,Total Loss,4473,Sports Car,N
394,52,283321,2021,OH,100/300,1000,635,MALE,Masters,exec-managerial,Vehicle Theft,Side Collision,Minor Damage,10108,Truck,N
357,71,661672,2005,OH,100/300,2000,1729,FEMALE,PhD,prof-specialty,Multi-vehicle Collision,Side Collision,Minor Damage,30715,Sports Car,N
192,51,621998,2016,IL,250/500,500,877,MALE,Associate,exec-managerial,Parked Car,Rear Collision,Major Damage,44811,Truck,Y
227,72,706217,2019,OH,100/300,1000,1078,MALE,Associate,craft-repair,Parked Car,Rear Collision,Total Loss,34210,SUV,Y
177,64,700441,2013,IN,500/1000,2000,1443,FEMALE,High School,exec-managerial,Vehicle Theft,Front Collision,Total Loss,39317,Sedan,Y
99,41,859416,2011,OH,250/500,2000,615,MALE,Associate,sales,Parked Car,Side Collision,Total Loss,35362,Truck,Y
36,71,175388,2006,OH,250/500,2000,1254,MALE,Masters,prof-specialty,Vehicle Theft,Rear Collision,Major Damage,6889,Sedan,N
96,39,655689,2013,IN,250/500,500,534,MALE,High School,sales,Vehicle Theft,Side Collision,Total Loss,26021,Sports Car,Y
152,22,618727,2014,IN,500/1000,1000,1304,FEMALE,PhD,sales,Multi-vehicle Collision,Side Collision,Major Damage,10212,SUV,N
